SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,015,Maryland,Cecil County,1,103725,51748,51977,5867,3033,2834,11817,6066,5751,5737,2914,2823,7998,4117,3881,83170,41178,41992,80304,39735,40569,37903,19009,18894,25581,12694,12887,29997,15014,14983,16728,7910,8818,5867,3033,2834,6158,3108,3050,7072,3674,3398,6581,3374,3207,5741,2941,2800,6502,3224,3278,6729,3374,3355,6216,3105,3111,6134,2991,3143,6539,3221,3318,7673,3828,3845,8308,4220,4088,7477,3745,3732,5901,2867,3034,4713,2297,2416,2938,1410,1528,1696,771,925,1480,565,915,40.8,40.1,41.5
050,24,015,Maryland,Cecil County,2,103740,51755,51985,5837,3017,2820,11785,6046,5739,5742,2924,2818,7987,4121,3866,83252,41217,42035,80376,39768,40608,37969,19058,18911,25656,12741,12915,29929,14965,14964,16804,7941,8863,5837,3017,2820,6146,3102,3044,7055,3672,3383,6561,3365,3196,5752,2952,2800,6486,3215,3271,6763,3392,3371,6245,3123,3122,6162,3011,3151,6481,3190,3291,7622,3791,3831,8326,4227,4099,7500,3757,3743,5937,2884,3053,4740,2304,2436,2953,1413,1540,1698,778,920,1476,562,914,40.8,40.1,41.5
050,24,015,Maryland,Cecil County,3,103905,51818,52087,5845,2994,2851,11622,5960,5662,5668,2918,2750,8122,4171,3951,83613,41382,42231,80770,39946,40824,38211,19201,19010,25855,12874,12981,29484,14709,14775,17309,8192,9117,5845,2994,2851,6088,3092,2996,6968,3630,3338,6447,3322,3125,5909,3005,2904,6379,3193,3186,6844,3409,3435,6415,3210,3205,6217,3062,3155,6173,3047,3126,7440,3663,3777,8241,4176,4065,7630,3823,3807,6107,2969,3138,4913,2377,2536,3066,1460,1606,1733,802,931,1490,584,906,40.8,40.1,41.6
050,24,017,Maryland,Charles County,1,166617,80761,85856,9758,4921,4837,20672,10603,10069,9769,4934,4835,13877,7162,6715,131335,62795,68540,126418,60303,66115,64371,31765,32606,43108,20844,22264,48020,22967,25053,21413,9330,12083,9758,4921,4837,10973,5658,5315,12082,6120,5962,11348,5843,5505,9915,5078,4837,10513,5273,5240,10697,5290,5407,11314,5319,5995,10584,4962,5622,11751,5446,6305,12989,6184,6805,13100,6375,6725,10180,4962,5218,7374,3361,4013,5857,2623,3234,3907,1756,2151,2309,945,1364,1966,645,1321,38.6,37.0,39.9
050,24,017,Maryland,Charles County,2,166682,80787,85895,9728,4912,4816,20641,10581,10060,9787,4947,4840,13836,7139,6697,131443,62845,68598,126526,60347,66179,64392,31798,32594,43188,20915,22273,47937,22907,25030,21565,9386,12179,9728,4912,4816,10965,5647,5318,12095,6137,5958,11292,5803,5489,9912,5080,4832,10491,5262,5229,10750,5320,5430,11308,5342,5966,10639,4991,5648,11606,5367,6239,12943,6144,6799,13127,6376,6751,10261,5020,5241,7427,3392,4035,5902,2639,3263,3943,1765,2178,2323,942,1381,1970,648,1322,38.6,37.1,39.9
050,24,017,Maryland,Charles County,3,168698,81653,87045,9786,4951,4835,20647,10599,10048,10024,5048,4976,13929,7156,6773,133221,63568,69653,128241,61055,67186,65389,32186,33203,44002,21292,22710,47898,22809,25089,22412,9798,12614,9786,4951,4835,10918,5626,5292,12295,6283,6012,11405,5796,5609,9982,5098,4884,10309,5153,5156,11121,5491,5630,11527,5469,6058,11045,5179,5866,11073,5077,5996,12986,6148,6838,13183,6364,6819,10656,5220,5436,7735,3551,4184,6163,2757,3406,4071,1824,2247,2430,971,1459,2013,695,1318,38.7,37.2,40.0
050,24,019,Maryland,Dorchester County,1,32531,15491,17040,1802,915,887,3490,1761,1729,1583,833,750,2181,1120,1061,26446,12398,14048,25656,11982,13674,10702,5116,5586,7338,3367,3971,9009,4281,4728,7128,3214,3914,1802,915,887,1850,956,894,2040,1009,1031,1813,957,856,1551,792,759,1964,891,1073,1976,933,1043,1750,819,931,1648,724,924,1800,836,964,2102,997,1105,2504,1228,1276,2603,1220,1383,2245,1047,1198,1938,923,1015,1342,595,747,826,361,465,777,288,489,44.6,43.2,45.7
050,24,019,Maryland,Dorchester County,2,32508,15462,17046,1784,898,886,3468,1747,1721,1586,830,756,2183,1118,1065,26459,12405,14054,25670,11987,13683,10706,5131,5575,7340,3386,3954,8972,4251,4721,7175,3232,3943,1784,898,886,1844,948,896,2027,1002,1025,1802,949,853,1564,796,768,1931,877,1054,2002,952,1050,1765,831,934,1642,726,916,1780,822,958,2086,987,1099,2495,1223,1272,2611,1219,1392,2265,1058,1207,1952,925,1027,1344,598,746,828,360,468,786,291,495,44.7,43.3,45.8
050,24,019,Maryland,Dorchester County,3,32489,15418,17071,1737,861,876,3481,1767,1714,1620,843,777,2171,1115,1056,26458,12380,14078,25651,11947,13704,10775,5144,5631,7390,3389,4001,8775,4130,4645,7315,3313,4002,1737,861,876,1866,956,910,2021,1014,1007,1828,960,868,1557,795,762,1817,822,995,2042,952,1090,1831,839,992,1700,776,924,1668,756,912,2012,940,1072,2442,1199,1243,2653,1235,1418,2307,1102,1205,2025,930,1095,1350,619,731,850,375,475,783,287,496,44.6,43.3,45.6
050,24,021,Maryland,Frederick County,1,271717,134737,136980,15984,8038,7946,32495,16676,15819,15004,7653,7351,22459,11415,11044,215695,106198,109497,208234,102370,105864,104899,52950,51949,71248,35829,35419,74391,37086,37305,40136,18040,22096,15984,8038,7946,17317,8867,8450,18990,9756,9234,18046,9172,8874,15605,7949,7656,15786,8033,7753,18195,9123,9072,19351,9667,9684,17916,9006,8910,17848,8952,8896,19456,9748,9708,20215,10108,10107,16872,8278,8594,13498,6453,7045,10727,5134,5593,7048,3113,3935,4319,1846,2473,4544,1494,3050,39.1,38.3,39.9
